change_id,dataset_name,change_type,record_count,reason,source_run_id,timestamp
CHANGE-cd19d6d9d5bd,city_bonuses_reference_pg,snapshot_created,0,Static skeleton import initialized,IMPORT-ITEMS-20260410-072900,2026-04-10T07:29:00.420109+00:00
CHANGE-ab1659a572e7,market_prices,snapshot_created,0,Live skeleton import initialized,IMPORT-MARKET_PRICES-20260410-072913,2026-04-10T07:29:13.065572+00:00
